Basin,month,STAT,VALUE
Zambezi Basin,1985oct,average,28.72334272890
Limpopo Basin,1985oct,average,47.04066454100
Okavango Basin,1985oct,average,31.27205023930
Cuvelai Basin,1985oct,average,17.66775637650
Zambezi Basin,1985sep,average,4.02270315389
Limpopo Basin,1985sep,average,14.54443647870
Okavango Basin,1985sep,average,3.74812631398
Cuvelai Basin,1985sep,average,1.50018012601
Zambezi Basin,1986apr,average,63.90427879640
Limpopo Basin,1986apr,average,59.53849072870
Okavango Basin,1986apr,average,36.65956184310
Cuvelai Basin,1986apr,average,15.32478301760
Zambezi Basin,1986aug,average,1.53709887435
Limpopo Basin,1986aug,average,4.87549835021
Okavango Basin,1986aug,average,0.70581527811
Cuvelai Basin,1986aug,average,0.22468063971
Zambezi Basin,1986dec,average,175.98552314800
Limpopo Basin,1986dec,average,95.34653385400
Okavango Basin,1986dec,average,53.96038085820
Cuvelai Basin,1986dec,average,43.37957660950
Zambezi Basin,1986feb,average,171.41449935800
Limpopo Basin,1986feb,average,51.70199358660
Okavango Basin,1986feb,average,88.12255156560
Cuvelai Basin,1986feb,average,135.86371352000
Zambezi Basin,1986jan,average,240.04741929000
Limpopo Basin,1986jan,average,60.63399272300
Okavango Basin,1986jan,average,79.45759708550
Cuvelai Basin,1986jan,average,112.17530649300
Zambezi Basin,1986jul,average,1.72607729238
Limpopo Basin,1986jul,average,3.86337903808
Okavango Basin,1986jul,average,0.34891566265
Cuvelai Basin,1986jul,average,0.03675503219
Zambezi Basin,1986jun,average,1.77874478259
Limpopo Basin,1986jun,average,6.13576587262
Okavango Basin,1986jun,average,1.20953770995
Cuvelai Basin,1986jun,average,0.29727791316
Zambezi Basin,1986mar,average,155.47672028000
Limpopo Basin,1986mar,average,41.70716560820
Okavango Basin,1986mar,average,81.99722485480
Cuvelai Basin,1986mar,average,133.02233537300
Zambezi Basin,1986may,average,5.39946821031
Limpopo Basin,1986may,average,6.57585961123
Okavango Basin,1986may,average,2.72722590418
Cuvelai Basin,1986may,average,2.06177497597
Zambezi Basin,1986nov,average,99.27487049410
Limpopo Basin,1986nov,average,68.98618657360
Okavango Basin,1986nov,average,67.52396437460
Cuvelai Basin,1986nov,average,46.24240347820
Zambezi Basin,1986oct,average,16.99585178000
Limpopo Basin,1986oct,average,36.20318672200
Okavango Basin,1986oct,average,14.27381168160
Cuvelai Basin,1986oct,average,5.66509155069
Zambezi Basin,1986sep,average,5.90966982325
Limpopo Basin,1986sep,average,8.35286886524
Okavango Basin,1986sep,average,6.59751097199
Cuvelai Basin,1986sep,average,3.10404287947
Zambezi Basin,1987apr,average,22.26855493230
Limpopo Basin,1987apr,average,15.18680067490
Okavango Basin,1987apr,average,16.18856845350
Cuvelai Basin,1987apr,average,25.11044636300
Zambezi Basin,1987aug,average,1.44325223014
Limpopo Basin,1987aug,average,8.84391436084
Okavango Basin,1987aug,average,0.59970894440
Cuvelai Basin,1987aug,average,0.20478984106
Zambezi Basin,1987dec,average,187.79374810800
Limpopo Basin,1987dec,average,172.05794121600
Okavango Basin,1987dec,average,109.27640875600
Cuvelai Basin,1987dec,average,56.45502356770
Zambezi Basin,1987feb,average,139.31685602900
Limpopo Basin,1987feb,average,54.01496979950
Okavango Basin,1987feb,average,88.85360617570
Cuvelai Basin,1987feb,average,122.32517805500
Zambezi Basin,1987jan,average,188.07895238800
Limpopo Basin,1987jan,average,75.41223100830
Okavango Basin,1987jan,average,61.31312585360
Cuvelai Basin,1987jan,average,35.06891387890
Zambezi Basin,1987jul,average,1.46313889015
Limpopo Basin,1987jul,average,4.74127559123
Okavango Basin,1987jul,average,0.34831463945
Cuvelai Basin,1987jul,average,0.03673112147
Zambezi Basin,1987jun,average,2.35976570972
Limpopo Basin,1987jun,average,6.70438683294
Okavango Basin,1987jun,average,1.10442923802
Cuvelai Basin,1987jun,average,0.29469952555
Zambezi Basin,1987mar,average,95.55424637540
Limpopo Basin,1987mar,average,55.21467332650
Okavango Basin,1987mar,average,53.37921825770
Cuvelai Basin,1987mar,average,49.18935098130
Zambezi Basin,1987may,average,5.30836087736
Limpopo Basin,1987may,average,6.26641904158
Okavango Basin,1987may,average,2.77314854614
Cuvelai Basin,1987may,average,2.17757325109
Zambezi Basin,1987nov,average,64.11099458540
Limpopo Basin,1987nov,average,68.99076178290
Okavango Basin,1987nov,average,54.20794503460
Cuvelai Basin,1987nov,average,51.59768568010
Zambezi Basin,1987oct,average,23.96729036590
Limpopo Basin,1987oct,average,27.78176729450
Okavango Basin,1987oct,average,19.17352934410
Cuvelai Basin,1987oct,average,16.12099909030
Zambezi Basin,1987sep,average,5.29191715891
Limpopo Basin,1987sep,average,23.43883448080
Okavango Basin,1987sep,average,5.53041646100
Cuvelai Basin,1987sep,average,1.52033357733
Zambezi Basin,1988apr,average,49.59057141760
Limpopo Basin,1988apr,average,33.79572028390
Okavango Basin,1988apr,average,53.14960113600
Cuvelai Basin,1988apr,average,35.47352027360
Zambezi Basin,1988aug,average,1.90048621807
Limpopo Basin,1988aug,average,5.21710709954
Okavango Basin,1988aug,average,0.65894667678
Cuvelai Basin,1988aug,average,0.20517194424
Zambezi Basin,1988dec,average,161.81892398700
Limpopo Basin,1988dec,average,58.99948355330
Okavango Basin,1988dec,average,106.01599012600
Cuvelai Basin,1988dec,average,156.14124823800
Zambezi Basin,1988feb,average,198.79951658900
Limpopo Basin,1988feb,average,133.04165701600
Okavango Basin,1988feb,average,133.95469403800
Cuvelai Basin,1988feb,average,54.79910318220
Zambezi Basin,1988jan,average,202.39073456900
Limpopo Basin,1988jan,average,58.32163195950
Okavango Basin,1988jan,average,90.10173625490
Cuvelai Basin,1988jan,average,130.97896967000
Zambezi Basin,1988jul,average,1.54236843741
Limpopo Basin,1988jul,average,4.15617300482
Okavango Basin,1988jul,average,0.34554232373
Cuvelai Basin,1988jul,average,0.03667768835
Zambezi Basin,1988jun,average,2.30337206425
Limpopo Basin,1988jun,average,9.41502588033
Okavango Basin,1988jun,average,1.15672402143
Cuvelai Basin,1988jun,average,0.29124421387
Zambezi Basin,1988mar,average,182.56862795000
Limpopo Basin,1988mar,average,89.26732411320
Okavango Basin,1988mar,average,83.89868940220
Cuvelai Basin,1988mar,average,48.97353443830
Zambezi Basin,1988may,average,6.84886365586
Limpopo Basin,1988may,average,7.30647091361
Okavango Basin,1988may,average,2.92374241557
Cuvelai Basin,1988may,average,2.03629865003
Zambezi Basin,1988nov,average,69.57942171950
Limpopo Basin,1988nov,average,36.09087848100
Okavango Basin,1988nov,average,40.78820179790
Cuvelai Basin,1988nov,average,48.60556338920
Zambezi Basin,1988oct,average,43.25118931570
Limpopo Basin,1988oct,average,63.73774012870
Okavango Basin,1988oct,average,27.78815004430
Cuvelai Basin,1988oct,average,9.75458779713
Zambezi Basin,1988sep,average,3.79633006277
Limpopo Basin,1988sep,average,11.08328116340
Okavango Basin,1988sep,average,4.07006691650
Cuvelai Basin,1988sep,average,1.49867801024
Zambezi Basin,1989apr,average,56.12977969560
Limpopo Basin,1989apr,average,32.30356489800
Okavango Basin,1989apr,average,45.92472687700
Cuvelai Basin,1989apr,average,36.03929025160
Zambezi Basin,1989aug,average,1.54773228900
Limpopo Basin,1989aug,average,5.32957070251
Okavango Basin,1989aug,average,0.60129581040
Cuvelai Basin,1989aug,average,0.20482050692
Zambezi Basin,1989dec,average,185.22969703000
Limpopo Basin,1989dec,average,96.26766824040
Okavango Basin,1989dec,average,35.81305881850
Cuvelai Basin,1989dec,average,21.06587683070
Zambezi Basin,1989feb,average,259.62014809400
Limpopo Basin,1989feb,average,118.13085633200
Okavango Basin,1989feb,average,169.94543535300
Cuvelai Basin,1989feb,average,118.89045866800
Zambezi Basin,1989jan,average,262.08921404700
Limpopo Basin,1989jan,average,51.19280848380
Okavango Basin,1989jan,average,154.69821328100
Cuvelai Basin,1989jan,average,112.88679583000
Zambezi Basin,1989jul,average,1.61290403122
Limpopo Basin,1989jul,average,5.47460688759
Okavango Basin,1989jul,average,0.34589403454
Cuvelai Basin,1989jul,average,0.03674450247
Zambezi Basin,1989jun,average,1.63172969496
Limpopo Basin,1989jun,average,10.45856667180
Okavango Basin,1989jun,average,1.19737548695
Cuvelai Basin,1989jun,average,0.29012891437
Zambezi Basin,1989mar,average,164.27763884100
Limpopo Basin,1989mar,average,32.61463143840
Okavango Basin,1989mar,average,47.75404505080
Cuvelai Basin,1989mar,average,33.12471915570
Zambezi Basin,1989may,average,6.28382502337
Limpopo Basin,1989may,average,7.62299993162
Okavango Basin,1989may,average,3.41703914643
Cuvelai Basin,1989may,average,2.07742765379
Zambezi Basin,1989nov,average,77.21960137700
Limpopo Basin,1989nov,average,99.56330448080
Okavango Basin,1989nov,average,34.39590035770
Cuvelai Basin,1989nov,average,16.00809307620
Zambezi Basin,1989oct,average,26.36258333870
Limpopo Basin,1989oct,average,36.91647182250
Okavango Basin,1989oct,average,17.33221422390
Cuvelai Basin,1989oct,average,6.14374882287
Zambezi Basin,1989sep,average,3.52777782640
Limpopo Basin,1989sep,average,5.56391264709
Okavango Basin,1989sep,average,3.14764043338
Cuvelai Basin,1989sep,average,1.50909186306
Zambezi Basin,1990apr,average,64.87436078200
Limpopo Basin,1990apr,average,31.89845312550
Okavango Basin,1990apr,average,39.34636810470
Cuvelai Basin,1990apr,average,41.23934370150
Zambezi Basin,1990aug,average,1.79899943820
Limpopo Basin,1990aug,average,5.43347556638
Okavango Basin,1990aug,average,0.61007619304
Cuvelai Basin,1990aug,average,0.21743011537
Zambezi Basin,1990dec,average,159.22882474600
Limpopo Basin,1990dec,average,99.12038484390
Okavango Basin,1990dec,average,84.43763118920
Cuvelai Basin,1990dec,average,76.89908471200
Zambezi Basin,1990feb,average,177.41003122700
Limpopo Basin,1990feb,average,60.67975850650
Okavango Basin,1990feb,average,68.95777725860
Cuvelai Basin,1990feb,average,90.68871646800
Zambezi Basin,1990jan,average,260.66445997100
Limpopo Basin,1990jan,average,96.23928155040
Okavango Basin,1990jan,average,135.44591782300
Cuvelai Basin,1990jan,average,206.89499718400
Zambezi Basin,1990jul,average,1.61864027657
Limpopo Basin,1990jul,average,4.31233349117
Okavango Basin,1990jul,average,0.34712023395
Cuvelai Basin,1990jul,average,0.03668441906
Zambezi Basin,1990jun,average,2.12303365948
Limpopo Basin,1990jun,average,5.44497433383
Okavango Basin,1990jun,average,1.15426195240
Cuvelai Basin,1990jun,average,0.29046000601
Zambezi Basin,1990mar,average,89.93660263720
Limpopo Basin,1990mar,average,68.19925589370
Okavango Basin,1990mar,average,82.31806901240
Cuvelai Basin,1990mar,average,111.13864329600
Zambezi Basin,1990may,average,11.65212118740
Limpopo Basin,1990may,average,6.15184791826
Okavango Basin,1990may,average,3.06401330547
Cuvelai Basin,1990may,average,2.08618441243
Zambezi Basin,1990nov,average,63.42442025640
Limpopo Basin,1990nov,average,44.25876864130
Okavango Basin,1990nov,average,39.81060515140
Cuvelai Basin,1990nov,average,34.93552452120
Zambezi Basin,1990oct,average,29.50148524480
Limpopo Basin,1990oct,average,26.38553939130
Okavango Basin,1990oct,average,21.29328073300
Cuvelai Basin,1990oct,average,17.12182021550
Zambezi Basin,1990sep,average,4.10659153108
Limpopo Basin,1990sep,average,6.43387841110
Okavango Basin,1990sep,average,3.37750054794
Cuvelai Basin,1990sep,average,1.50157336568
Zambezi Basin,1991apr,average,33.56478854790
Limpopo Basin,1991apr,average,11.11412038800
Okavango Basin,1991apr,average,8.60093988842
Cuvelai Basin,1991apr,average,8.30178743495
Zambezi Basin,1991aug,average,1.69278080457
Limpopo Basin,1991aug,average,3.54663971357
Okavango Basin,1991aug,average,0.60249584657
Cuvelai Basin,1991aug,average,0.20391288914
Zambezi Basin,1991dec,average,179.72251811500
Limpopo Basin,1991dec,average,59.28535570490
Okavango Basin,1991dec,average,110.68505242100
Cuvelai Basin,1991dec,average,106.39950076300
Zambezi Basin,1991feb,average,171.32267224000
Limpopo Basin,1991feb,average,104.58279599800
Okavango Basin,1991feb,average,116.56427265100
Cuvelai Basin,1991feb,average,96.90933340510
Zambezi Basin,1991jan,average,228.35038503200
Limpopo Basin,1991jan,average,128.12161077800
Okavango Basin,1991jan,average,139.55606432300
Cuvelai Basin,1991jan,average,121.31925491000
Zambezi Basin,1991jul,average,1.87328472022
Limpopo Basin,1991jul,average,4.34793639297
Okavango Basin,1991jul,average,0.35632441430
Cuvelai Basin,1991jul,average,0.03671585580
Zambezi Basin,1991jun,average,1.59801958993
Limpopo Basin,1991jun,average,8.56180178673
Okavango Basin,1991jun,average,1.21954096091
Cuvelai Basin,1991jun,average,0.29710421715
Zambezi Basin,1991mar,average,149.59660621900
Limpopo Basin,1991mar,average,110.36778980700
Okavango Basin,1991mar,average,86.07645706890
Cuvelai Basin,1991mar,average,75.88221733490
Zambezi Basin,1991may,average,6.14144624213
Limpopo Basin,1991may,average,8.26958919787
Okavango Basin,1991may,average,2.91458032286
Cuvelai Basin,1991may,average,2.14236624046
Zambezi Basin,1991nov,average,90.83329235110
Limpopo Basin,1991nov,average,53.91693654400
Okavango Basin,1991nov,average,50.97939578510
Cuvelai Basin,1991nov,average,49.67514349600
Zambezi Basin,1991oct,average,36.11418049260
Limpopo Basin,1991oct,average,17.31070804130
Okavango Basin,1991oct,average,27.90842311320
Cuvelai Basin,1991oct,average,27.76167830830
Zambezi Basin,1991sep,average,4.34009541852
Limpopo Basin,1991sep,average,9.24904862494
Okavango Basin,1991sep,average,5.53218803675
Cuvelai Basin,1991sep,average,3.63968707487
Zambezi Basin,1992apr,average,34.54509087260
Limpopo Basin,1992apr,average,13.08360772720
Okavango Basin,1992apr,average,14.05265865390
Cuvelai Basin,1992apr,average,9.90595419479
Zambezi Basin,1992aug,average,1.90392503522
Limpopo Basin,1992aug,average,5.02240883001
Okavango Basin,1992aug,average,0.64108873504
Cuvelai Basin,1992aug,average,0.20498313940
Zambezi Basin,1992dec,average,185.73069696300
Limpopo Basin,1992dec,average,142.32498498600
Okavango Basin,1992dec,average,57.36419924570
Cuvelai Basin,1992dec,average,28.96395764060
Zambezi Basin,1992feb,average,80.08503840910
Limpopo Basin,1992feb,average,40.26431231820
